0,nuclear war
1,Mozart
2,too many characters
3,Stanley Kubrick
4,out of order
5,zoe kazan
6,Existential
7,con artists
8,Hollywood
9,assassin-in-training (scene)
10,shakespeare
11,Scotland
12,convent
13,soccer
14,Pixar
15,Mark Wahlberg
16,nonlinear timeline
17,books
18,dark fairy tale
19,invisibility
20,Exquisite plotting.
21,beautiful cinematography
22,George Clooney
23,clever
24,war
25,hip hop
26,Ben Kingsley
27,embarassing scenes
28,romantic comedy
29,heavy metal
30,live action/animation
31,police corruption
32,road trip
33,earnest
34,satire
35,classic sci-fi
36,Girl Power
37,winona ryder
38,gangs
39,Borg
40,franchise
41,revolution
42,wistful
43,remade
44,Edith Wharton
45,salute to Douglas Sirk
46,bad plot
47,Gulf War
48,Charlize Theron
49,transplants
50,milkshake
51,animation
52,confusing ending
53,Oscar (Best Effects - Visual Effects)
54,von Bulow
55,history
56,Favelas
57,technology
58,Tradition!
59,stranded
60,memory
61,insanity
62,dating
63,assassin
64,mediacentralism
65,Steve Buscemi
66,Dr. Strange
67,interesting scenario
68,ROBOTS AND ANDROIDS
69,Eric Bana
70,mockumentary
71,gunfight
72,Oscar (Best Supporting Actress)
73,revolutionary
74,mindless one liners
75,post-college
76,dialogue
77,poetic
78,Disturbing
79,mirrors
80,Louisa May Alcott
81,psychiatrist
82,violence
83,Angelina Jolie
84,batman
85,moody
86,Great villain
87,Tilda Swinton
88,cult film
89,Visually Striking
90,In Your Eyes
91,GIVE ME BACK MY SON!
92,Beatles
93,genocide
94,Great Visuals
95,money
96,social commentary
97,Dorothy
98,Emma Stone
99,race
100,FBI
101,Matt Damon
102,disturbing
103,Housekeeper
104,King Arthur
105,Beautiful
106,Andrew Lloyd Weber
107,Navy
108,writing
109,TERRORISM
110,meditative
111,offensive
112,gothic
113,male nudity
114,Matrix
115,mind-blowing
116,Heartwarming
117,spelling bee
118,Bugs Bunny
119,love story
120,fighting
121,Michael Bay
122,wine
123,lesbian
124,ships
125,great dialogue
126,stapler
127,dead wife
128,post-apocalyptic
129,leonardo DiCarpio
130,Mila Kunis
131,Mafia
132,Christmas
133,06 Oscar Nominated Best Movie - Animation
134,disappointing
135,annoying
136,Michael Crichton
137,unique
138,painter
139,Viggo Mortensen
140,butler
141,Simon Pegg
142,city politics
143,fish
144,star wars
145,lies
146,black comedy
147,enigmatic
148,will ferrell
149,fantasy
150,S.E. Hinton
151,based on a book
152,not linear
153,Jared Leto
154,survival
155,innovative
156,Bad writing
157,character study
158,chilly
159,cartoon
160,John Grisham
161,saints
162,surreal
163,insightful
164,David Thewlis
165,James Stewart
166,holocaust
167,spiders
168,gun tactics
169,claims to be true
170,entirely dialogue
171,paranoia
172,allegorical
173,Seann William Scott
174,gruesome
175,drugs
176,Nabokov
177,wry
178,for katie
179,stylized
180,cult classic
181,start of a beautiful friendship
182,diner
183,Bechdel Test:Fail
184,Huey Long
185,music business
186,illusions
187,Jack Nicholson
188,bad dialogue
189,cheesy
190,Pearl S Buck
191,easygoing
192,diabetes
193,basketball
194,Dumas
195,needed more autobots
196,fun
197,Rita Hayworth can dance!
198,bank
199,celebrity fetishism
200,carnival
201,Everything you want is here
202,stone age
203,surrealism
204,interwoven storylines
205,colourful
206,Sci-Fi
207,circus
208,Native Americans
209,Quakers
210,Johnny Depp
211,Veterinarian
212,deafness
213,Epic
214,mythology
215,notable soundtrack
216,claustrophobic
217,eerie
218,Kevin Spacey
219,black and white
220,Stones of Summer
221,based on a play
222,futuristic
223,1980s
224,POW
225,bromance
226,assassination
227,thought provoking
228,pageant
229,sports
230,Marx brothers
231,truckers
232,witty
233,superficial plot
234,Ray Bradbury
235,Palme d'Or
236,dogs
237,wonderwoman
238,fast-paced
239,artistic
240,unconventional
241,r:strong bloody violence
242,bombs
243,Jake Gyllenhaal
244,virginity
245,Adam Sandler
246,secrets
247,nanny
248,Justin Timberlake
249,downbeat
250,cinematography
251,end of the world
252,poor dialogue
253,Backwards. memory
254,ridiculous
