1,L,L,None,None,L
2,L,L,None,None,L
3,L,None,None,None,L
4,L,L,None,L,L
5,L,None,None,None,L
6,L,None,None,None,L
7,L,None,None,None,L
8,L,L,M,M,L
9,L,M,L,None,L
10,L,L,L,L,L
11,L,L,None,None,L
12,L,None,L,L,L
13,L,None,None,L,L
14,L,L,None,None,L
15,L,L,L,L,None
16,L,None,None,None,L
17,L,L,None,None,L
18,L,L,L,L,None
19,L,L,L,L,None
20,L,L,L,L,None
21,L,None,None,None,L
22,L,None,L,None,L
23,L,None,L,None,L
24,L,None,None,None,L
25,L,None,None,None,L
26,L,L,L,None,L
27,L,L,L,L,None
28,L,L,None,None,L
29,L,None,None,None,L
30,L,L,None,L,L
31,L,None,None,None,L
32,L,None,None,None,L
34,L,None,None,None,L
36,L,L,None,None,L
38,L,L,L,L,None
39,L,L,L,L,None
40,L,None,None,None,L
41,L,None,None,None,L
42,L,L,None,None,L
43,L,None,None,L,L
44,L,L,L,None,None
45,L,None,None,None,L
46,L,None,None,None,L
47,L,None,None,None,L
48,L,L,L,L,None
49,L,L,L,None,L
50,L,None,L,None,L
52,L,None,None,None,L
53,M,L,L,None,L
54,L,None,L,None,None
55,L,L,L,L,None
57,L,None,None,None,L
58,L,L,None,None,L
60,L,L,None,None,L
61,L,None,None,L,L
62,L,None,None,None,L
63,L,L,L,L,None
64,L,L,L,L,None
65,None,L,L,L,L
66,L,L,L,L,L
68,M,L,M,None,M
69,L,L,L,None,L
70,L,None,None,None,L
71,None,L,L,L,L
72,L,L,None,None,None
73,L,L,L,L,L
74,L,None,None,None,L
75,None,L,H,M,L
76,L,L,L,None,None
77,None,None,None,L,H
78,L,None,None,None,L
79,L,L,L,L,None
80,L,L,None,None,None
81,None,L,None,None,L
82,L,None,None,None,L
83,M,L,None,M,M
85,L,None,None,L,L
86,L,L,L,L,None
87,L,L,M,L,None
88,L,None,None,None,L
89,L,None,None,None,L
92,L,L,L,L,None
93,L,L,L,L,None
94,L,None,None,None,L
95,L,None,None,None,L
96,L,L,None,None,None
97,L,None,None,None,L
99,M,L,L,M,H
100,L,None,None,None,L
101,L,None,None,None,L
102,L,L,None,None,None
103,L,None,L,None,L
104,L,None,None,None,L
105,L,L,None,None,L
106,None,None,L,L,None
107,L,None,None,None,L
108,L,L,L,L,L
110,L,L,L,L,None
111,L,None,None,None,L
112,None,L,None,L,L
113,L,None,None,L,L
116,L,L,L,L,L
117,L,L,L,None,M
118,L,M,L,M,None
119,None,M,None,H,L
121,L,L,None,L,L
122,None,L,None,L,L
123,L,None,None,None,L
125,L,None,None,None,L
126,None,L,L,L,L
128,L,None,L,None,None
129,L,H,H,H,None
132,L,L,L,L,L
135,L,None,None,L,L
137,L,L,L,L,H
140,L,M,L,L,None
141,L,None,None,None,L
144,L,None,None,None,L
145,L,None,None,None,L
146,None,None,None,L,L
147,L,None,None,None,L
148,M,None,None,None,L
149,L,None,None,L,M
150,L,L,None,None,L
151,L,None,None,None,L
152,L,L,None,None,L
153,L,L,L,L,None
154,L,None,None,None,L
